"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","ensembl_gene_id"
"Cdkn1c",965.428741834934,-5.79615761534489,0.334634057949677,-17.3208837464372,3.272925434224e-67,1.91597054919473e-63,"Cdkn1c","ENSMUSG00000037664"
"Cd28",421.529190962836,-5.39464168077147,0.414628038953431,-13.010798050195,1.06226886225738e-38,1.09738622111554e-35,"Cd28","ENSMUSG00000026012"
"Gas6",1905.69132478568,-3.90508824556266,0.305860745640113,-12.7675365382046,2.48908078662989e-37,2.08158270356163e-34,"Gas6","ENSMUSG00000031451"
"Dio2",3198.3358477025,-4.43173758021856,0.351069212810959,-12.6235437870906,1.56611759454087e-36,1.25018896342394e-33,"Dio2","ENSMUSG00000007682"
"Col6a1",691.55860723024,-5.21153053318439,0.459150433209424,-11.350377036032,7.38435887864712e-30,3.81423854784708e-27,"Col6a1","ENSMUSG00000001119"
"Cd5l",374.643717544422,-4.0481821433684,0.375537597218546,-10.7796986862344,4.29289651949059e-27,1.98399601777089e-24,"Cd5l","ENSMUSG00000015854"
"Cd55",478.763262795509,-4.57286001098358,0.429160504809588,-10.6553607793254,1.64605176765876e-26,7.41229772913413e-24,"Cd55","ENSMUSG00000026399"
"Des",604.510310780164,-4.73948101043678,0.445347827612551,-10.6422008070512,1.89597295373574e-26,8.32426925337678e-24,"Des","ENSMUSG00000026208"
"Tmem176a",826.596569476008,-3.39042639698444,0.331143081644978,-10.2385542229729,1.33212072414516e-24,4.49898156873795e-22,"Tmem176a","ENSMUSG00000023367"
"Wnt4",271.780449119113,-5.22164220825298,0.513675898944462,-10.1652466447867,2.83403825891987e-24,9.21692220428719e-22,"Wnt4","ENSMUSG00000036856"
